파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28874_전주지방법원 2023하합1010 채권매각에관한공고.pdf,False,text,0.90,8,8,0,"",unknown,5,646
28621_2024하합100221 자동차 환가포기공고.pdf,False,text,0.90,1,1,0,"Hancom PDF 1.3.0.509",document_software,5,802
28751_2025하합246 자산(홈페이지) 환가 포기 공고.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.538",document_software,5,374
28501_2024하합100879 자산포기 안내서.pdf,False,text,0.90,3,3,0,"Hancom PDF 1.3.0.538",document_software,5,476
28580_2024하합100368 특허권 환가포기 공고.pdf,False,text,0.90,1,1,0,"Hancom PDF 1.3.0.509",document_software,5,849
28692_2025하합290 자산 매각공고 및 환가 포기 공고.pdf,False,text,0.80,5,5,2,"Hancom PDF 1.3.0.538",document_software,5,713
28696_2025하합272 자산 포기안내서.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.542",document_software,5,616
28662_2024하합100081 채권매각 공고(보림프러스).pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.538",document_software,5,608
28990_2025하합481 지식재산권(출원 중 특허) 매각공고.pdf,False,text,0.90,8,8,0,"Hancom PDF 1.3.0.547",document_software,5,691
28764_2025하합229 자산 매각(포기) 공고.pdf,False,text,0.90,9,9,0,"Hancom PDF 1.3.0.547",document_software,5,658
28941_2025하합335 자산(기계장치 및 비품 등) 매각공고.pdf,False,mixed,0.70,13,10,13,"NesPDF",document_software,5,219
28647_2019하합100077 자산(채권) 공매 및 환가포기 공고.pdf,True,scanned,0.90,7,0,7,"SINDOH N600",scanner,100,0
28699_2025하합345 자산 포기 공고.pdf,False,text,0.90,1,1,0,"Hancom PDF 1.3.0.538",document_software,5,773
28448_인천지방법원 2019하합38 매출채권 매각공고(2019하합38 에이원이노베이션)-2025.04.22.(수정본).pdf,False,text,0.90,5,5,0,"",unknown,5,958
28541_2024하합101140  자산매각 및 포기공고.pdf,False,text,0.80,5,5,1,"Hancom PDF 1.3.0.547",document_software,5,709
28782_2023하합100573 자산 포기 공고.pdf,False,mixed,0.70,3,2,1,"Hancom PDF 1.3.0.404",document_software,5,284
28861_2024하합101028 자산(유동화자산-주식) 제2차 매각 및 환가 포기 공고.pdf,False,text,0.90,8,8,0,"Hancom PDF 1.3.0.538",document_software,5,702
28847_2024하합100861 부실채권 공개매각 및 포기 공고.pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.547",document_software,5,683
28961_2024하합100882 자산 매각 및 환가 포기 공고(상표권).pdf,False,text,0.90,8,8,0,"Microsoft® Word 2021",document_software,5,713
28343_2024하합100268 자산매각 공고.pdf,True,scanned,0.90,10,0,10,"",unknown,95,0
