파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28903_인천지방법원 2024하합47 지식재산권(디자인권) 공개매각 및 환가포기 공고.pdf,False,text,0.90,5,5,0,"",unknown,5,890
28798_부산회생법원 2024하단100952 매각공고문 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,730
28529_2024하단105768 부동산 매각공고1.pdf,False,text,0.90,6,6,0,"",unknown,5,539
28895_2025하합332 자산 매각공고 및 환가 포기 공고(비품).pdf,False,text,0.80,7,7,2,"Hancom PDF 1.3.0.538",document_software,5,522
28602_24-389 오상석 - 부동산 매각 및 환가 포기 공고문.pdf,False,text,0.80,5,5,1,"Microsoft: Print To PDF",document_software,5,714
28901_2022하단102715 자산(집합건물 지분) 매각공고.pdf,False,text,0.90,6,6,0,"",unknown,5,636
28799_부산회생법원 2024하단100951 매각공고문 및 입찰서(2) .pdf,False,text,0.90,5,5,0,"",unknown,5,707
28402_춘천지방법원 2024하단114 부동산매각에 관한 공고게재 촉탁신청.pdf,False,text,0.90,5,5,0,"",unknown,5,538
28909_2024하단106563 부동산 매각공고.pdf,False,text,0.80,30,30,4,"",unknown,5,979
28951_2024하단107434 부동산매각공고.pdf,False,mixed,0.70,6,6,6,"Microsoft: Print To PDF",document_software,5,282
28679_의정부지방법원 2024하단21768 1. 부동산 매각공고 및 입찰서.pdf,False,text,0.90,6,6,0,"",unknown,5,579
28569_매각공고.pdf,True,scanned,0.80,39,1,39,"itext-paulo-155 (itextpdf.sf.net-lowagie.com)",document_software,5,1
28964_부동산매각공고안(망 양혜경_선경오피스텔).pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.509",document_software,5,606
28760_매각공고문 및 입찰서(우리라이스).pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.546",document_software,5,621
28705_2009하합25호 자산포기안내서.pdf,True,scanned,0.90,2,0,2,"DocuCentre-V C2263",other,95,0
28978_광주지방법원2025하단5204 부동산매각공고.pdf,False,text,0.90,4,4,0,"Hancom PDF 1.3.0.538",document_software,5,823
28973_의정부지방법원 2024하단20942 매각포기공고.pdf,True,scanned,0.90,4,0,4,"",unknown,95,0
28660_부산회생법원 2025하단90 자산(부동산) 매각 공고 내역서.pdf,False,text,0.90,4,4,0,"",unknown,5,681
28816_대구지방법원 2024하단12574 매각공고문.pdf,False,mixed,0.70,14,7,7,"",unknown,20,280
